Alder;Køn;Eksponeringer;CPM (pris pr. 1000 eksponeringer)
35-44;unknown;13;36,81352951
35-44;female;217;52,84003455
Unknown;unknown;0;
35-44;male;263;55,18458625
45-54;unknown;2;40
55-64;female;652;101,94785276
55-64;unknown;15;102,66666667
45-54;female;21;93,80952381
55-64;male;626;91,19808307
55-64;female;245;110,57142857
55-64;male;280;92,17857143
45-54;female;75;111,73333333
45-54;male;51;105,68627451
Unknown;unknown;0;
45-54;male;2;20
13-17;female;3;47,02542151
45-54;male;389;53,15104976
35-44;unknown;17;48,60610795
Unknown;unknown;0;
35-44;female;464;53,3162299
45-54;unknown;37;54,1972522
45-54;female;618;64,27677239
35-44;male;406;51,05451726
45-54;male;534;50,91275571
Unknown;unknown;0;
55-64;female;548;70,43326516
45-54;unknown;23;76,04113111
55-64;male;353;58,05901673
45-54;male;3;26,66666667
45-54;female;532;65,29640296
55-64;unknown;17;60,30848329
13-17;female;1;20,10282776
45-54;unknown;1;19,39759036
45-54;male;2;45,26104418
35-44;female;6;89,44444444
35-44;male;6;64,65863454
45-54;female;12;47,95515395
55-64;female;1;50
45-54;unknown;1;60
35-44;female;4;40
45-54;male;20;72,5
55-64;female;1;91,17647059
45-54;male;1;82,35294118
45-54;female;1;61,76470588
65;male;434;82,39631336
Unknown;unknown;0;
55-64;female;615;110,04878049
45-54;female;47;82,76595745
35-44;male;4;35
Unknown;unknown;0;
45-54;male;90;75
55-64;unknown;8;88,75
55-64;male;944;81,49364407
45-54;unknown;1;110
Unknown;unknown;0;
55-64;unknown;17;40,58823529
45-54;unknown;2;35
45-54;female;2;30
45-54;female;10;64
55-64;male;0;
45-54;unknown;3;26,66666667
55-64;female;759;115,98155468
Unknown;unknown;0;
45-54;female;55;97,09090909
45-54;male;88;79,43181818
55-64;male;941;97,21572795
55-64;unknown;8;126,25
Unknown;unknown;0;
13-17;unknown;1;49,7334615
Unknown;unknown;0;
35-44;female;7;41,73076923
45-54;male;11;61,96386946
35-44;male;12;40,5715812
45-54;female;17;41,73076923
45-54;unknown;1;180
45-54;female;4;25
45-54;male;4;47,5
Unknown;unknown;0;
55-64;female;4;40
55-64;unknown;13;61,53846154
45-54;female;29;92,4137931
45-54;unknown;21;45,23809524
45-54;female;508;67,24409449
55-64;female;519;76,31984586
45-54;male;381;52,93963255
55-64;male;380;54,28947368
Unknown;unknown;0;
Unknown;unknown;0;
45-54;unknown;1;40
45-54;male;3;46,66666667
45-54;female;7;38,57142857
35-44;female;10;31
45-54;female;4;50
55-64;male;2;35
55-64;unknown;11;147,27272727
55-64;female;2;65
45-54;male;36;76,94444444
45-54;unknown;20;57,19348073
13-17;male;1;59,68015381
55-64;female;419;105,34606205
Unknown;unknown;0;
45-54;male;28;71,07142857
45-54;female;13;136,92307692
45-54;unknown;3;73,33333333
13-17;female;4;116,87363454
35-44;unknown;19;44,49836029
Unknown;female;0;
45-54;female;706;60,52548176
55-64;unknown;10;99
55-64;female;262;106,41221374
55-64;male;345;93,85507246
45-54;male;569;48,59719613
35-44;male;414;42,23740354
35-44;female;473;49,43905624
Unknown;unknown;0;
55-64;male;455;93,18681319
45-54;male;3;46,66666667
45-54;female;45;104,88888889
45-54;male;46;86,73913043
55-64;female;627;106,3476874
55-64;male;643;87,79160187
55-64;unknown;1;40
Unknown;unknown;0;
55-64;male;6;78,33333333
65;male;59;68,98305085
Unknown;unknown;0;
45-54;unknown;1;50
55-64;unknown;26;61,53846154
45-54;female;25;47,2
35-44;male;80;37,625
45-54;male;122;45,40983607
55-64;male;701;90,61340942
45-54;female;12;71,66666667
45-54;female;46;84,7826087
45-54;male;78;104,74358974
55-64;female;629;109,3799682
55-64;unknown;7;64,28571429
45-54;unknown;1;30
55-64;male;75;52,66666667
55-64;female;20;70,5
55-64;female;320;106,03125
45-54;female;495;56,54545455
35-44;female;25;52
45-54;male;482;44,58506224
Unknown;unknown;0;
35-44;male;22;47,27272727
45-54;unknown;3;30
35-44;unknown;3;26,66666667
13-17;male;1;40
Unknown;unknown;0;
35-44;male;423;44,8463357
45-54;female;647;59,07264297
35-44;female;74;48,24324324
35-44;unknown;22;38,18181818
35-44;female;480;47,72916667
45-54;unknown;22;43,18181818
13-17;female;1;150
Unknown;unknown;0;
45-54;female;19;76,84210526
55-64;unknown;11;55,45454545
45-54;male;28;74,28571429
45-54;female;85;48,47058824
45-54;male;38;46,05263158
45-54;male;9;50
45-54;unknown;5;52
35-44;male;4;37,5
35-44;unknown;1;40
13-17;female;1;50
Unknown;unknown;0;
45-54;male;463;44,62203024
55-64;female;573;63,2460733
55-64;male;370;91,7027027
55-64;male;431;54,84918794
55-64;unknown;11;65,45454545
45-54;unknown;11;59,09090909
13-17;female;1;40
Unknown;unknown;0;
55-64;female;37;68,91891892
45-54;female;33;48,78787879
45-54;male;18;62,22222222
55-64;male;9;66,66666667
Unknown;unknown;0;
Unknown;unknown;0;
45-54;female;9;208,88888889
65;male;3;363,33333333
45-54;male;3;333,33333333
65;female;2;80
55-64;unknown;1;390
55-64;female;132;290,53030303
45-54;unknown;1;140
35-44;female;1;70
13-17;male;215;14,74418605
55-64;male;30;303,33333333
55-64;male;117;257,60683761
55-64;female;65;315,38461538
65;female;46;336,08695652
45-54;unknown;1;170
35-44;male;4;222,5
55-64;unknown;5;194
65;male;7;190
35-44;female;8;296,25
45-54;male;14;443,57142857
45-54;female;42;169,04761905
55-64;female;14;351,42857143
45-54;male;11;241,81818182
13-17;male;778;23,7403599
65;female;5;216
55-64;female;26;231,15384615
65;male;4;455
45-54;female;3;546,66666667
55-64;female;13;342,30769231
35-44;female;1;170
45-54;unknown;1;180
13-17;male;4695;16,68157614
55-64;male;43;254,88372093
55-64;male;6;166,66666667
45-54;female;5;356
55-64;male;3;173,33333333
45-54;male;1;110
65;unknown;1;20
45-54;female;6;128,33333333
45-54;male;2;210
65;female;3;530
35-44;female;1;70
55-64;male;16;306,875
55-64;female;21;140,95238095
65;male;1;130
65;female;2;155
45-54;female;12;201,66666667
55-64;female;23;273,91304348
55-64;male;9;358,88888889
55-64;unknown;1;170
55-64;male;27;573,33333333
55-64;female;63;408,88888889
45-54;female;2;400
65;female;8;291,25
35-44;female;3;73,33333333
55-64;female;9;231,11111111
45-54;female;1;180
45-54;unknown;6;215
55-64;male;4;435
65;female;29;273,10344828
55-64;unknown;7;177,14285714
65;male;13;439,23076923
55-64;male;149;263,69127517
45-54;male;19;208,94736842
65;female;1;170
45-54;female;35;112,85714286
55-64;female;139;278,92086331
55-64;female;3;266,66666667
55-64;male;3;520
65;female;2;435
65;female;2;490
55-64;male;1;150
55-64;female;12;338,33333333
55-64;female;27;204,44444444
65;female;1;40
55-64;unknown;1;50
45-54;female;1;90
55-64;male;18;133,88888889
45-54;female;1;190
45-54;male;1;290
45-54;unknown;1;110
65;unknown;1;110
65;female;42;269,04761905
45-54;female;36;211,94444444
35-44;female;2;140
55-64;male;15;217,33333333
55-64;unknown;6;245
65;male;10;340
55-64;female;42;314,76190476
65;female;2;155
55-64;female;183;271,69398907
55-64;male;166;295,54216867
45-54;male;24;488,33333333
45-54;female;2;245
35-44;female;1;70
45-54;male;1;190
55-64;female;0;
Unknown;unknown;0;
35-44;male;12;77,5
Unknown;unknown;0;
45-54;male;2;140
55-64;male;3;36,66666667
55-64;male;1712;89,26985981
Unknown;unknown;0;
55-64;male;238;59,53781513
45-54;male;123;73,08943089
Unknown;unknown;0;
45-54;male;234;79,95726496
55-64;male;374;91,55080214
45-54;male;688;79,47674419
55-64;male;646;95,12383901
35-44;male;69;90,86956522
45-54;male;961;77,31529657
55-64;male;1639;97,64490543
45-54;male;728;84,10714286
55-64;male;771;101,76394293
45-54;male;892;77,42152466
55-64;male;207;72,65700483
Unknown;unknown;0;
Unknown;unknown;0;
45-54;male;97;76,28865979
55-64;male;150;108,2
Unknown;unknown;0;
35-44;male;89;100,33707865
35-44;male;5;70
45-54;male;104;57,69230769
55-64;male;24;68,33333333
45-54;male;3;143,33333333
Unknown;unknown;0;
55-64;male;195;95,38461538
45-54;unknown;4;102,5
55-64;female;22;51,36363636
Unknown;unknown;0;
45-54;male;244;92,04918033
45-54;male;105;61,80952381
55-64;male;315;112,06349206
45-54;female;55;62,18181818
55-64;female;40;126,25
45-54;male;1;40
55-64;female;11;181,81818182
55-64;male;29;111,37931034
55-64;unknown;4;122,5
Unknown;unknown;0;
55-64;female;251;135,93625498
