Alder;Køn;Eksponeringer;CPM (pris pr. 1000 eksponeringer)
35-44;male;81;46,17283951
35-44;unknown;4;55
25-34;male;80;30,625
25-34;unknown;4;37,5
55-64;female;53;65,66037736
55-64;male;454;72,20264317
35-44;male;12;53,33333333
35-44;female;12;35,83333333
25-34;unknown;6;35
55-64;unknown;19;56,84210526
45-54;unknown;8;56,25
45-54;female;146;54,7260274
45-54;male;362;63,59116022
55-64;male;755;82,13245033
55-64;female;392;62,27040816
65;unknown;1;60
45-54;female;53;78,49056604
55-64;female;112;52,76785714
45-54;male;276;55,50724638
35-44;unknown;2;35
55-64;male;2;95
55-64;female;6;46,66666667
55-64;male;323;80,77399381
45-54;male;121;68,18181818
65;male;10;63
65;female;12;60
55-64;female;544;102,11397059
45-54;female;178;74,26966292
25-34;female;126;42,06349206
25-34;male;102;42,84313725
35-44;female;45;61,77777778
35-44;male;30;57
25-34;unknown;8;23,75
35-44;unknown;29;55,17241379
25-34;female;49;35,30612245
55-64;unknown;5;64
35-44;female;50;61,6
55-64;female;508;101,14173228
45-54;male;77;67,14285714
45-54;female;39;75,64102564
45-54;female;404;73,78712871
55-64;female;788;78,24873096
35-44;female;806;66,06699752
55-64;male;997;88,59578736
25-34;female;783;51,34099617
45-54;unknown;1;20
45-54;female;94;71,06382979
45-54;female;10;64
25-34;female;55;52
55-64;unknown;21;127,14285714
45-54;female;20;44,5
55-64;male;601;83,86023295
65;unknown;4;62,5
65;female;100;74,5
65;male;82;61,70731707
55-64;female;71;61,4084507
55-64;male;33;39,39393939
55-64;female;283;89,57597173
45-54;unknown;2;95
45-54;male;44;107,04545455
35-44;female;293;80,40955631
25-34;female;291;63,16151203
45-54;female;30;74
35-44;male;142;46,54929577
25-34;male;266;42,48120301
25-34;female;260;36,42307692
35-44;female;72;52,5
35-44;unknown;2;55
35-44;male;57;57,54385965
25-34;unknown;10;32
45-54;male;116;64,31034483
18-24;male;16;78,75
35-44;male;180;62,83333333
45-54;female;5;142
35-44;unknown;12;47,5
65;female;145;83,79310345
55-64;male;50;85,6
65;female;39;148,97435897
65;male;27;78,88888889
55-64;female;26;131,53846154
65;unknown;5;40
55-64;unknown;3;76,66666667
35-44;female;457;65,27352298
25-34;female;395;57,94936709
45-54;female;55;72,36363636
55-64;unknown;1;170
65;unknown;1;140
65;male;3;140
25-34;unknown;29;54,82758621
25-34;female;1152;51,55381944
55-64;female;11;132,72727273
65;male;40;52,25
55-64;unknown;1;70
65;unknown;1;60
55-64;male;13;39,23076923
55-64;female;43;69,76744186
55-64;male;5;70
35-44;female;540;59,42592593
25-34;male;389;52,64781491
65;female;10;165
45-54;female;133;88,94736842
55-64;female;347;97,98270893
55-64;female;8;56,25
45-54;unknown;9;77,77777778
35-44;unknown;15;50,66666667
25-34;male;200;53,2
55-64;male;199;59,39698492
18-24;male;7;88,57142857
25-34;male;366;55,71038251
18-24;female;215;47,30232558
35-44;male;213;58,63849765
18-24;male;49;52,24489796
65;male;335;79,73134328
65;female;673;102,27340267
55-64;female;384;70,88541667
25-34;female;1525;45,40327869
55-64;unknown;8;56,25
65;unknown;15;50
25-34;female;275;49,85454545
55-64;male;80;66,75
45-54;male;38;60,78947368
25-34;unknown;10;37
18-24;unknown;2;20
25-34;female;113;48,84955752
35-44;female;845;54,98224852
18-24;unknown;1;10
45-54;female;4;40
35-44;unknown;5;68
18-24;male;33;55,75757576
18-24;female;82;50,6097561
35-44;female;175;54,51428571
35-44;male;197;46,09137056
25-34;male;200;47,1
25-34;unknown;2;50
25-34;female;40;44,75
35-44;female;35;62,85714286
45-54;female;7;87,14285714
35-44;female;524;82,19465649
25-34;female;600;74,66666667
45-54;female;67;73,43283582
55-64;female;8;112,5
35-44;female;55;59,45454545
55-64;unknown;2;75
18-24;male;7;81,42857143
45-54;unknown;2;155
55-64;female;493;87,52535497
55-64;male;728;87,93956044
18-24;female;12;31,66666667
45-54;male;308;67,27272727
45-54;female;170;63,05882353
55-64;unknown;21;98,0952381
45-54;female;165;110,78787879
25-34;unknown;2;25
18-24;unknown;1;30
45-54;male;445;49,82022472
55-64;male;868;59,06682028
35-44;male;84;55,71428571
45-54;male;72;66,94444444
25-34;male;62;42,09677419
55-64;female;468;138,5042735
55-64;male;1534;69,70664928
35-44;male;82;45,12195122
35-44;unknown;4;122,5
25-34;unknown;6;33,33333333
35-44;male;93;48,92473118
35-44;female;198;63,98989899
25-34;male;254;47,12598425
25-34;female;384;49,97395833
35-44;unknown;5;70
45-54;male;736;59,95923913
25-34;unknown;11;35,45454545
35-44;female;166;48,31325301
25-34;male;177;47,57062147
25-34;female;327;47,70642202
25-34;male;35;51,14285714
35-44;male;18;48,88888889
35-44;female;628;69,02866242
55-64;female;216;104,90740741
55-64;male;9;35,55555556
65;unknown;2;40
55-64;male;322;65,34161491
45-54;male;109;50,82568807
45-54;female;344;60,11627907
55-64;female;892;80,73991031
45-54;female;79;75,18987342
55-64;female;24;49,58333333
45-54;male;244;56,31147541
55-64;male;528;75,87121212
65;male;16;70,625
65;female;77;105,45454545
25-34;female;437;62,35697941
35-44;female;65;62,92307692
55-64;female;670;97,11940299
45-54;female;313;71,94888179
25-34;female;68;47,05882353
45-54;female;3;6,66666667
35-44;female;384;80,52083333
45-54;female;27;74,07407407
55-64;unknown;6;60
55-64;female;389;87,78920308
65;female;747;94,00267738
65;male;344;86,1627907
45-54;female;80;73,125
25-34;female;804;56,7039801
65;unknown;20;105
55-64;male;253;67,90513834
25-34;male;13;46,92307692
25-34;female;14;42,14285714
35-44;female;13;84,61538462
35-44;male;4;87,5
18-24;female;6;41,66666667
18-24;male;3;90
55-64;female;0;
25-34;female;375;41,84
25-34;unknown;5;44
18-24;male;13;38,46153846
35-44;male;44;45,90909091
18-24;female;86;38,72093023
25-34;male;96;42,60416667
35-44;female;134;46,79104478
25-34;unknown;1;20
35-44;unknown;1;20
35-44;unknown;6;68,33333333
18-24;male;13;34,61538462
25-34;male;70;39,57142857
35-44;male;86;50
18-24;female;113;49,38053097
35-44;female;314;52,19745223
25-34;female;368;48,125
35-44;unknown;3;46,66666667
55-64;male;15;94,66666667
55-64;female;6;158,33333333
65;female;6;88,33333333
65;male;14;135
18-24;female;4;60
65;male;60;100,66666667
55-64;female;34;110
55-64;male;55;121,27272727
65;female;40;76
18-24;male;3;30
35-44;male;12;33,33333333
65;unknown;1;130
55-64;female;39;185,12820513
65;female;219;108,63013699
65;male;126;102,46031746
65;unknown;3;70
55-64;female;291;97,31958763
25-34;unknown;1;110
55-64;female;101;95,14851485
65;female;28;163,92857143
65;female;69;116,37681159
55-64;male;18;276,11111111
65;male;16;228,125
35-44;unknown;1;20
65;male;60;102
65;unknown;3;113,33333333
55-64;unknown;3;306,66666667
55-64;female;9;168,88888889
18-24;female;19;54,73684211
65;unknown;2;15
65;male;1;150
65;male;110;87,81818182
65;female;70;88,57142857
55-64;unknown;2;100
55-64;male;112;86,33928571
55-64;female;67;98,50746269
65;male;438;92,37442922
55-64;male;10;159
65;female;241;86,68049793
55-64;female;218;92,3853211
55-64;male;430;81,90697674
65;unknown;8;77,5
55-64;unknown;4;25
25-34;male;33;30,3030303
25-34;female;76;44,34210526
65;female;5;210
55-64;female;13;137,69230769
65;male;1;80
55-64;unknown;6;88,33333333
55-64;male;6;128,33333333
65;female;5;110
65;male;390;121,20512821
65;female;299;134,24749164
55-64;male;472;98,13559322
55-64;female;328;157,04268293
65;unknown;4;97,5
65;female;2;170
55-64;male;7;102,85714286
55-64;female;2;405
65;male;1;100
65;female;1;90
65;male;5;252
55-64;female;13;133,84615385
55-64;male;8;130
35-44;female;70;49
35-44;female;44;53,18181818
25-34;female;127;55,90551181
35-44;male;6;46,66666667
18-24;male;1;30
25-34;female;88;42,61363636
18-24;unknown;1;60
35-44;female;42;62,14285714
25-34;male;15;41,33333333
18-24;female;14;52,85714286
18-24;male;1;40
25-34;unknown;2;10
25-34;male;14;55,71428571
35-44;male;13;53,84615385
65;female;125;89,6
55-64;male;6;83,33333333
65;female;8;46,25
65;unknown;1;10
65;unknown;5;86
55-64;female;1179;102,66188668
55-64;female;16;115,625
65;male;791;119,1359194
65;female;987;124,36523057
55-64;male;961;95,34477822
65;unknown;24;120,00829321
55-64;unknown;22;72,27772205
65;male;2;80
65;unknown;2;60
65;male;12;87,5
55-64;female;5;106
65;female;6;63,33333333
65;unknown;1;90
55-64;male;7;67,14285714
65;female;63;95,55555556
65;male;53;84,90566038
55-64;female;38;93,94736842
55-64;female;65;82
55-64;male;70;90,71428571
65;female;40;129,75
65;male;68;66,76470588
55-64;male;13;105,38461538
65;female;137;140,09916715
65;male;10;107
65;male;53;137,83477569
65;unknown;16;77,51442263
55-64;female;360;76,15305822
65;male;253;90,01674886
55-64;male;62;135,86768704
55-64;female;110;119,05440548
65;male;8;187,5
55-64;unknown;9;91,12806675
55-64;female;367;80,21798365
65;female;404;94,44826647
55-64;female;15;119,33333333
55-64;male;7;70
55-64;female;1029;86,69582119
55-64;male;233;73,31836292
65;unknown;1;20
65;unknown;5;134,62236629
55-64;unknown;28;69,28222294
65;female;358;93,60335196
55-64;female;967;68,62115417
65;unknown;2;50
65;female;119;84,20168067
65;male;44;80,22727273
65;unknown;18;78,88491364
65;male;362;76,27071823
65;female;649;76,94527503
55-64;male;526;89,71030812
65;unknown;16;79,375
65;male;395;79,99596876
55-64;female;183;86,66666667
55-64;male;75;89,6
55-64;unknown;5;154
65;unknown;3;60
65;female;11;113,63636364
55-64;unknown;2;84,13897893
65;female;178;108,14606742
65;unknown;5;174
65;male;135;106,2962963
55-64;female;1089;96,34527089
55-64;female;146;93,69863014
65;unknown;12;127,5
65;female;337;96,35014837
65;male;176;85,51136364
65;female;185;109,83783784
65;male;53;98,30188679
65;female;23;105,65217391
65;male;21;75,71428571
65;unknown;6;131,66666667
25-34;female;0;
25-34;female;94;48,29787234
35-44;female;58;61,37931034
25-34;female;101;46,33663366
35-44;female;43;49,30232558
35-44;female;1045;60,66985646
25-34;female;1376;56,69331395
45-54;female;324;66,17283951
55-64;female;709;83,49788434
55-64;female;104;67,21153846
45-54;female;62;78,38709677
45-54;female;79;45,44303797
55-64;female;131;67,02290076
55-64;female;1369;44,19284149
45-54;female;248;20,08064516
55-64;female;318;30,91194969
45-54;female;707;30,73550212
55-64;female;1681;51,2195122
45-54;female;911;38,66081229
65;female;261;120,68965517
65;unknown;16;55,625
55-64;female;260;123,88461538
65;male;352;124,14772727
55-64;unknown;1;70
65;unknown;3;63,33333333
55-64;female;38;130,78947368
55-64;male;332;95,12048193
55-64;unknown;1;80
55-64;male;55;105,81818182
65;male;93;103,5483871
55-64;female;23;178,26086957
65;female;33;97,57575758
55-64;male;41;140,48780488
65;male;59;123,55932203
45-54;unknown;1;10
45-54;male;23;140
45-54;female;30;120
55-64;female;59;191,52542373
45-54;unknown;4;65
55-64;unknown;8;93,75
45-54;female;133;91,65413534
45-54;male;241;80,08298755
55-64;female;272;120,11029412
55-64;male;355;85,54929577
65;female;51;68,62745098
55-64;male;109;71,65137615
55-64;unknown;7;110
65;female;92;96,63043478
55-64;male;185;74,59459459
65;male;208;86,68269231
55-64;female;108;105,83333333
55-64;male;76;142,23684211
65;unknown;3;100
55-64;unknown;2;265
45-54;female;60;152,16666667
55-64;female;65;73,53846154
45-54;male;24;73,75
45-54;unknown;13;31,53846154
55-64;unknown;14;65,71428571
45-54;female;282;76,38297872
45-54;male;350;76,45714286
55-64;female;515;96,17475728
55-64;male;628;89,06050955
55-64;unknown;3;103,33333333
55-64;male;530;78,94339623
65;unknown;1;50
55-64;unknown;1;620
45-54;unknown;3;46,66666667
55-64;unknown;10;71
65;unknown;10;68
65;female;495;108,46464646
55-64;female;496;88,50806452
55-64;female;52;87,69230769
55-64;male;76;104,86842105
65;female;77;96,62337662
65;male;123;112,60162602
65;male;580;97,05172414
55-64;unknown;1;60
65;unknown;1;40
55-64;male;705;84,63829787
55-64;male;46;93,69565217
55-64;female;50;102,6
65;female;52;82,88461538
65;male;79;126,20253165
65;unknown;1;100
55-64;female;69;60,43478261
65;female;90;75,22222222
55-64;male;179;66,87150838
65;male;186;100,37634409
55-64;female;81;105,30864198
55-64;male;78;119,23076923
45-54;female;55;113,45454545
45-54;male;43;90,23255814
55-64;unknown;5;126
45-54;male;450;75,04444444
45-54;unknown;1;10
55-64;female;475;88,84210526
45-54;female;297;83,36700337
65;unknown;21;58,57142857
65;female;596;100,70469799
55-64;unknown;8;52,5
55-64;female;536;77,63059701
55-64;unknown;24;72,91666667
55-64;male;580;83,24137931
65;male;710;103,08450704
45-54;unknown;10;99
55-64;male;138;88,69565217
65;male;108;98,51851852
65;female;74;80,54054054
55-64;female;69;79,27536232
65;unknown;1;30
55-64;male;85;124
65;unknown;17;109,41176471
45-54;male;53;96,41509434
45-54;female;53;120,37735849
55-64;unknown;4;95
45-54;unknown;2;45
55-64;unknown;8;125
65;male;604;111,75496689
55-64;male;559;100,98389982
65;female;558;110,48387097
55-64;unknown;2;55
55-64;female;33;121,81818182
55-64;male;40;81,75
55-64;female;108;124,44444444
45-54;unknown;10;65
55-64;unknown;13;71,53846154
45-54;female;288;79,89583333
55-64;female;428;104,13551402
45-54;male;446;74,95515695
55-64;male;658;85,24316109
55-64;female;458;97,83842795
65;female;54;110,74074074
65;male;63;121,9047619
Unknown;unknown;0;
55-64;unknown;2;510
65;unknown;7;51,42857143
55-64;male;67;120,59701493
65;male;131;134,96183206
65;female;108;131,01851852
55-64;female;83;100,72289157
65;unknown;2;45
45-54;unknown;11;57,27272727
65;male;543;117,73480663
55-64;unknown;10;47
55-64;unknown;3;83,33333333
55-64;female;139;143,23741007
45-54;female;357;81,34453782
65;female;508;115,37401575
55-64;male;83;120,96385542
45-54;female;57;125,61403509
45-54;male;36;107,22222222
55-64;unknown;21;82,38095238
45-54;male;485;67,89690722
55-64;female;535;84,5046729
65;unknown;16;87,5
55-64;male;485;96,78350515
55-64;female;488;90,43032787
65;male;162;79,56790123
55-64;male;152;65,39473684
65;female;133;74,88721805
55-64;female;86;68,60465116
55-64;male;695;76,04316547
45-54;unknown;2;35
55-64;male;33;119,39393939
55-64;female;30;110
65;unknown;4;132,5
65;female;47;114,89361702
55-64;female;123;108,53658537
55-64;male;87;91,6091954
45-54;female;51;144,11764706
45-54;male;32;139,6875
65;male;80;113,125
55-64;unknown;2;95
45-54;unknown;2;45
55-64;unknown;13;89,23076923
45-54;unknown;19;47,36842105
45-54;female;360;82,97222222
55-64;female;564;84,20212766
55-64;male;720;90,22222222
45-54;male;468;63,20512821
65;male;122;71,80327869
55-64;male;100;58,7
65;female;86;104,88372093
55-64;female;43;71,1627907
55-64;unknown;3;33,33333333
65;female;691;114,32706223
65;male;688;101,40988372
55-64;female;611;92,65139116
55-64;male;571;87,09281961
65;unknown;19;57,89473684
55-64;unknown;12;82,5
65;unknown;2;85
55-64;unknown;3;103,33333333
65;male;78;117,94871795
65;female;711;104,21940928
65;male;717;116,10878661
55-64;female;667;87,00149925
55-64;male;634;94,65299685
65;unknown;22;122,27272727
55-64;unknown;13;90
65;female;51;142,15686275
55-64;male;45;78,44444444
55-64;female;32;136,875
65;unknown;5;50
55-64;unknown;1;110
45-54;unknown;3;40
55-64;female;568;98,36267606
55-64;male;106;59,24528302
65;male;97;73,50515464
65;female;54;57,96296296
55-64;female;48;81,875
55-64;unknown;4;42,5
65;unknown;1;80
55-64;male;781;80,9346991
45-54;male;533;75,85365854
55-64;unknown;4;97,5
45-54;male;37;73,24324324
45-54;female;53;86,98113208
45-54;female;322;77,57763975
55-64;male;107;93,45794393
55-64;female;113;138,40707965
45-54;unknown;10;88
55-64;unknown;13;72,30769231
45-54;unknown;3;20
55-64;unknown;3;60
45-54;male;32;147,8125
45-54;female;42;83,80952381
55-64;female;92;88,15217391
65;female;761;113,77135348
65;unknown;11;150,90909091
55-64;male;60;135
65;female;94;75,95744681
55-64;male;149;63,89261745
55-64;female;112;105,35714286
65;unknown;1;30
65;male;179;80,78212291
65;male;75;120,66666667
65;female;43;107,90697674
55-64;unknown;15;74
55-64;female;25;113,2
55-64;unknown;3;126,66666667
65;unknown;2;40
65;male;797;107,84190715
55-64;unknown;4;32,5
55-64;male;716;89,80446927
55-64;female;656;93,97865854
55-64;male;104;108,36538462
45-54;unknown;18;62,77777778
55-64;male;798;71,54135338
55-64;unknown;24;66,25
45-54;female;398;87,71356784
45-54;male;458;80,08733624
55-64;female;551;77,25952813
55-64;female;34;47,26317326
65;female;49;56,16118904
55-64;male;67;91,5900337
45-54;female;63;101,9047619
55-64;unknown;1;50,21712159
65;unknown;3;26,78246485
55-64;male;688;90,79022404
65;male;1004;116,25134374
65;female;810;125,55089961
55-64;unknown;1;120
55-64;female;629;82,12909515
65;unknown;24;98,46523389
55-64;unknown;8;128,92270031
55-64;male;134;127,76119403
65;male;75;74,18742763
65;unknown;1;30
65;female;25;131,6
45-54;male;45;101,33333333
55-64;unknown;2;55
45-54;unknown;1;30
55-64;female;147;95,03401361
55-64;female;21;62,38095238
45-54;unknown;9;56,90369957
55-64;unknown;17;131,13447722
45-54;female;282;81,43852373
55-64;female;465;93,2702385
55-64;male;621;80,28612344
55-64;male;40;90,5
65;male;38;152,36842105
45-54;male;344;72,97841087
55-64;female;464;79,33189655
65;male;978;127,46794841
55-64;female;205;100,73170732
55-64;male;160;107,1875
45-54;female;92;101,41304348
65;male;14;117,85714286
55-64;male;12;59,16666667
65;female;10;100
55-64;female;8;63,75
65;unknown;1;40
55-64;male;637;80,3610675
45-54;male;385;75,16883117
45-54;female;303;79,9339934
45-54;male;53;112,0754717
55-64;unknown;6;145
45-54;unknown;3;43,33333333
45-54;unknown;16;60
55-64;unknown;15;59,33333333
55-64;unknown;16;97,51067966
65;female;806;127,88001077
55-64;male;9;114,44444444
55-64;female;10;114
65;male;8;106,25
65;unknown;17;63,53637046
55-64;female;597;112,72591392
65;female;5;106
55-64;male;701;96,35862767
55-64;unknown;6;108,33333333
45-54;male;39;106,15384615
45-54;female;73;84,24657534
55-64;male;154;102,20779221
55-64;female;209;105,83732057
65;male;971;117,35324408
65;female;849;122,803298
55-64;male;737;100,05427408
55-64;female;673;101,35215453
55-64;unknown;12;71,66666667
65;unknown;32;130,9375
45-54;female;269;77,84386617
45-54;male;403;60,32258065
55-64;male;4;140
65;male;3;120
55-64;female;3;46,66666667
65;female;2;70
65;male;1;20
55-64;male;1;120
45-54;unknown;20;53,5
55-64;unknown;16;51,875
55-64;female;464;86,98275862
55-64;male;758;72,87598945
55-64;unknown;8;76,25
45-54;unknown;3;26,66666667
55-64;unknown;21;56,19047619
45-54;unknown;13;79,23076923
55-64;male;157;103,94904459
45-54;female;236;74,91525424
45-54;male;417;57,41007194
55-64;female;220;106,63636364
45-54;female;96;88,33333333
45-54;male;62;112,41935484
55-64;male;771;67,00389105
55-64;female;499;86,55310621
55-64;male;844;72,06161137
55-64;unknown;2;35
65;female;4;85
65;male;1;20
55-64;female;2;15
65;unknown;2;55
55-64;male;3;90
45-54;unknown;16;42,5
45-54;female;251;101,35458167
45-54;male;444;60,56306306
55-64;female;547;82,94332724
55-64;unknown;21;41,42857143
65;unknown;4;132,5
45-54;unknown;1;50
55-64;female;118;103,81355932
65;female;185;121,83783784
55-64;male;257;91,59533074
65;male;332;113,55421687
55-64;unknown;8;65
45-54;male;44;55,45454545
55-64;male;133;101,65413534
55-64;female;227;113,34801762
45-54;female;76;72,63157895
45-54;female;32;81,5625
55-64;female;28;97,14285714
55-64;male;75;71,73333333
35-44;male;11;50
65;male;100;70,6
45-54;male;79;61,01265823
35-44;female;4;82,5
45-54;unknown;2;25
35-44;unknown;1;20
45-54;unknown;3;73,29794934
65;male;255;60,78431373
35-44;female;15;57,30566948
35-44;male;53;58,46234381
55-64;male;390;75,1432124
55-64;female;176;83,6527991
45-54;male;357;66,43851558
45-54;female;151;71,81963428
55-64;unknown;3;29,98552473
35-44;unknown;1;60
45-54;unknown;2;105
35-44;female;24;52,5
65;male;267;55,73033708
55-64;unknown;8;42,5
45-54;male;353;64,33427762
55-64;female;163;85,4601227
55-64;male;353;62,71954674
45-54;female;159;86,85534591
35-44;male;57;90,1754386
65;male;240;63,5
45-54;male;330;59,12121212
35-44;male;34;37,94117647
35-44;female;18;84,44444444
55-64;unknown;9;63,33333333
45-54;unknown;5;46
55-64;female;178;90,11235955
55-64;male;354;76,52542373
45-54;female;166;68,85542169
45-54;unknown;6;100
55-64;unknown;6;38,33333333
35-44;female;21;41,42857143
35-44;male;48;57,70833333
55-64;female;187;82,29946524
45-54;female;163;71,90184049
55-64;male;377;62,25464191
45-54;male;388;57,98969072
65;male;231;64,06926407
35-44;female;28;85,35714286
45-54;female;187;79,30481283
45-54;unknown;15;52,66666667
55-64;male;273;74,90842491
35-44;male;61;71,31147541
55-64;unknown;7;97,14285714
65;male;189;84,07407407
45-54;male;321;68,19314642
55-64;female;166;82,89156627
35-44;unknown;3;30
35-44;unknown;1;30
45-54;unknown;8;56,25
35-44;female;20;61,5
45-54;female;151;70,79470199
35-44;male;44;48,86363636
55-64;male;340;70,52941176
45-54;male;355;57,54929577
55-64;female;146;96,91780822
55-64;unknown;7;90
65;male;214;69,34579439
35-44;unknown;1;80
65;male;292;98,66438356
45-54;male;169;76,98224852
55-64;male;131;87,78625954
35-44;female;19;84,73684211
55-64;female;89;98,08988764
45-54;female;118;71,18644068
35-44;male;40;35,75
45-54;unknown;3;60
55-64;unknown;1;30
45-54;female;75;73,6
45-54;male;197;56,24365482
55-64;female;399;72,93233083
55-64;male;884;65,21493213
45-54;unknown;2;55
55-64;unknown;19;42,10526316
55-64;unknown;23;53,91304348
45-54;unknown;8;48,75
45-54;female;187;59,30481283
45-54;male;382;54,08376963
55-64;female;916;68,85371179
55-64;male;1696;57,53537736
45-54;unknown;7;87,14285714
55-64;male;2101;59,91908615
55-64;unknown;31;53,5483871
45-54;female;203;62,16748768
45-54;male;466;53,96995708
55-64;female;956;67,53138075
55-64;unknown;13;61,53846154
45-54;unknown;3;40
45-54;female;42;73,57142857
55-64;male;551;79,38294011
55-64;female;191;70,68062827
45-54;male;110;74,45454545
65;female;0;
65;male;267;117,47983503
65;unknown;3;76,68406323
65;female;434;130,32910566
65;unknown;10;104
65;male;84;103,57142857
65;female;1;570
65;female;204;126,02941176
65;male;0;
65;female;0;
65;female;0;
65;unknown;36;213,88888889
65;male;303;131,51815182
65;unknown;27;140
65;female;1086;142,52302026
65;female;1;160
65;male;1;330
65;female;1911;146,00732601
65;male;739;128,63328823
65;female;0;
65;female;1015;207,63546798
55-64;unknown;15;97,33333333
45-54;male;206;94,12621359
45-54;female;74;91,89189189
55-64;female;361;130,85872576
55-64;male;880;112,05681818
65;female;907;207,0893054
45-54;unknown;2;60
55-64;female;595;125,02521008
55-64;male;1108;115,63176895
65;unknown;1;100
65;male;117;150
65;female;407;237,46928747
55-64;unknown;19;87,36842105
45-54;female;128;114,765625
45-54;male;261;104,5210728
45-54;unknown;4;127,5
65;female;0;
45-54;female;172;100,04810529
45-54;unknown;6;124,98746448
55-64;unknown;37;71,07395278
45-54;male;416;82,29943815
55-64;female;686;113,00615885
55-64;male;1829;91,18276304
65;male;121;183,63636364
65;unknown;6;205
65;female;308;160,32467532
55-64;unknown;18;95
65;female;0;
55-64;male;835;104,68263473
45-54;unknown;3;63,33333333
55-64;female;353;107,70538244
45-54;male;198;95,35353535
45-54;female;80;95,625
65;female;1679;174,58010721
65;female;0;
65;female;901;148,90122087
65;female;523;128,58508604
65;unknown;9;123,33333333
65;female;1841;156,75176534
65;male;190;89,42105263
65;unknown;1;120
65;female;259;231,08108108
65;female;57;248,77192982
65;female;119;205,96638655
65;male;35;164,28571429
65;unknown;17;230
65;female;608;184,35855263
65;female;460;171,80434783
65;female;758;170,98944591
65;male;180;113,66666667
65;female;1114;174,76660682
65;male;302;143,0794702
65;female;961;183,74609781
65;unknown;26;147,30769231
65;female;883;186,35334088
65;unknown;20;153
65;male;280;148,85714286
65;female;1807;147,88046486
65;female;1232;160,24350649
65;female;1408;163,48721591
65;female;177;114,46327684
65;male;3;56,66666667
65;female;524;173,96946565
65;female;1323;136,00151172
65;female;12;151,66666667
65;female;1012;147,85573123
65;male;264;113,37121212
65;unknown;19;134,21052632
65;unknown;3;500
65;male;272;156,39705882
65;female;283;153,10954064
65;male;91;107,8021978
65;unknown;16;136,25
65;female;2025;123,4962963
55-64;male;1;50
65;male;33;493,63636364
65;unknown;3;320
65;male;26;525
65;female;65;582,92307692
65;female;220;105,59090909
65;female;50;661,2
65;male;264;113,52272727
65;unknown;1;130
65;female;902;138,53658537
65;female;847;128,41794569
65;unknown;13;91,53846154
65;male;289;221,24567474
65;female;853;133,04806565
65;male;339;130
65;unknown;36;160,27777778
65;female;2185;115,2173913
65;female;1;0
65;female;495;227,87878788
Unknown;unknown;0;
Unknown;unknown;0;
55-64;male;5;158
55-64;female;3;56,66666667
Unknown;unknown;0;
Unknown;unknown;0;
55-64;female;430;141,93023256
55-64;male;272;108,71323529
55-64;unknown;3;230
Unknown;unknown;0;
Unknown;unknown;0;
65;male;130;118,38461538
Unknown;unknown;0;
65;male;57;113,50877193
45-54;unknown;2;45
Unknown;unknown;0;
55-64;male;283;94,87632509
55-64;female;217;104,37788018
Unknown;unknown;0;
45-54;female;37;114,05405405
45-54;male;9;74,44444444
45-54;female;12;207,5
55-64;unknown;7;107,14285714
45-54;female;6;60
45-54;male;12;65,83333333
45-54;male;50;91,2
55-64;unknown;1;110
55-64;male;24;138,33333333
55-64;female;32;110,625
45-54;male;3;53,33333333
55-64;male;49;100,6122449
55-64;unknown;7;341,42857143
Unknown;unknown;0;
Unknown;unknown;0;
65;male;137;108,02919708
Unknown;unknown;0;
65;male;360;97
45-54;female;4;72,5
55-64;female;35;75,71428571
55-64;male;41;79,02439024
55-64;male;65;117,53846154
55-64;male;215;132,55813953
55-64;female;225;158,35555556
55-64;unknown;2;170
55-64;female;87;111,03448276
Unknown;unknown;0;
55-64;female;52;125,38461538
55-64;unknown;2;50
55-64;female;307;116,64495114
Unknown;unknown;0;
45-54;unknown;1;250
45-54;male;57;79,47368421
55-64;female;25;99,2
Unknown;unknown;0;
65;male;142;109,71830986
45-54;male;3;56,66666667
45-54;female;3;36,66666667
Unknown;unknown;0;
55-64;female;37;113,78378378
55-64;male;24;95,83333333
45-54;female;55;131,63636364
45-54;female;6;70
55-64;male;15;82
45-54;male;3;53,33333333
55-64;male;336;105,89285714
45-54;male;1;80
55-64;male;24;88,33333333
Unknown;unknown;0;
65;male;317;112,80757098
45-54;unknown;1;220
45-54;female;9;83,33333333
55-64;female;33;110,90909091
Unknown;unknown;0;
55-64;female;311;109,12199811
55-64;male;35;83,60625946
55-64;unknown;1;31,75502742
45-54;female;8;65,51236749
45-54;male;5;67,69611307
65;male;127;122,99212598
55-64;unknown;2;60,05300353
55-64;male;10;92,44444444
55-64;female;1;31,51515152
45-54;male;1;84,04040404
65;male;303;114,52145215
Unknown;unknown;0;
Unknown;unknown;0;
45-54;male;4;82,03382084
55-64;female;58;92,43267942
55-64;male;25;106,69689214
Unknown;unknown;0;
55-64;unknown;7;85,02786888
55-64;male;451;87,82156826
45-54;female;55;103,69183746
45-54;male;85;75,49747246
Unknown;unknown;0;
55-64;female;22;91,41598803
45-54;female;4;164,06764168
45-54;unknown;1;95,26508227
Unknown;unknown;0;
55-64;male;51;74,75359082
55-64;female;61;117,24861738
45-54;female;8;225,48290409
55-64;female;40;118,89098579
Unknown;unknown;0;
55-64;male;50;104,73339254
55-64;unknown;1;71,9327006
45-54;male;7;73,40395839
45-54;female;8;80,92428818
55-64;male;313;107,16196324
45-54;male;5;45,21484038
45-54;female;1;63,42857143
45-54;male;4;84,57142857
55-64;female;5;35,94285714
